1,Cachalots; a la rencontre des geants,Docu,2018,VINCENT Guillaume,CINe FILMS EUROPE
2,Cold war,Fiction,2018,PAWLIKOWSKI Pawel,MK PRODUCTIONS
3,Editeur,Fiction,2018,OTCHAKOVSKI-LAURENS Paul,LES FILMS DU RAT
4,Fahim,Fiction,2018,MARTIN LAVAL Pierre-Francois,WAITING FOR CINeMA ET ALICeLeO
5,Kat people,Docu,2018,GASTINE Marco,LES FILMS DU TAMBOUR DE SOIE
6,Maya,Fiction,2018,HANSEN-LOVE Mia,LFP - LES FILMS PELLeAS
7,Monsieur,Fiction,2018,GERA Rohena,CINe SUD PROMOTION
8,Neuilly sa mere; sa mere,Fiction,2018,BENSALAH Djamel / JULIEN-LAFERRIERE Gabriel,MIROIR MAGIQUE ! ET VITO FILMS
9,Positive school,Fiction,2018,AYOUCH Nabil,LES FILMS DU NOUVEAU MONDE
10,Territoires,Fiction,2018,OELHOFFEN David,ONE WORLD FILMS
11,A 2 heures de Paris,Fiction,2017,VERRIER Virginie,VIGO FILMS
12,Amanda,Fiction,2017,HERS Mikhael,NORD-OUEST FILMS
13,Belle et la belle (La),Fiction,2017,FILLIERES Sophie,CHRISTMAS IN JULY
14,Capital au Xxe siecle (Le),Docu,2017,PEMBERTON Justin / PIKETTY Thomas,UPSIDE
15,C'est ca l'amour,Fiction,2017,BURGER Claire,DHARAMSALA
16,Collier rouge (Le),Fiction,2017,BECKER Jean,ICE 3 ET KJB PRODUCTION
17,Fils de Garches,Docu,2017,GENDARME Remi,THE KINGDOM ET WAG PROD
18,Jewell stone,Fiction,2017,DUMAS Sandrine,PIO & CO
19,Monnaie de leur piece (La),Fiction,2017,LE NY Anne,MOVE MOVIE
20,Mort de Staline (La),Fiction,2017,IANNUCCI Armando,MITICO ET GAUMONT
21,Mrs Mills,Fiction,2017,MARCEAU Sophie,LES FIMS DU CAP
22,Nous; Tikopia,Docu,2017,FAJAL Corto,LES FILMS DE L'HEURE BLEUE
23,Pachamama,Anim,2017,ANTIN Juan,FOLIVARI ET O2B
24,Retour du heros (Le),Fiction,2017,TIRARD Laurent,JD PROD ET LES FILMS SUR MESURE
25,The captain,Fiction,2017,SCWENTKE Robert,ALFAMA FILMS PRODUCTION
