Cachalots a la rencontre des geants,Docu,2018,VINCENT Guillaume,CINe FILMS EUROPE
Cold war,Fiction,2018,PAWLIKOWSKI Pawel,MK PRODUCTIONS
Editeur,Fiction,2018,OTCHAKOVSKI-LAURENS Paul,LES FILMS DU RAT
Fahim,Fiction,2018,MARTIN LAVAL Pierre-Francois,WAITING FOR CINeMA ET ALICeLeO
Kat people,Docu,2018,GASTINE Marco,LES FILMS DU TAMBOUR DE SOIE
Maya,Fiction,2018,HANSEN-LOVE Mia,LFP - LES FILMS PELLeAS
Monsieur,Fiction,2018,GERA Rohena,CINe SUD PROMOTION
Positive school,Fiction,2018,AYOUCH Nabil,LES FILMS DU NOUVEAU MONDE
Territoires,Fiction,2018,OELHOFFEN David,ONE WORLD FILMS
A 2 heures de Paris,Fiction,2017,VERRIER Virginie,VIGO FILMS
Amanda,Fiction,2017,HERS Mikhael,NORD-OUEST FILMS
C'est ca l'amour,Fiction,2017,BURGER Claire,DHARAMSALA
Fils de Garches,Docu,2017,GENDARME Remi,THE KINGDOM ET WAG PROD
Jewell stone,Fiction,2017,DUMAS Sandrine,PIO & CO
Mrs Mills,Fiction,2017,MARCEAU Sophie,LES FIMS DU CAP
Nous Tikopia,Docu,2017,FAJAL Corto,LES FILMS DE L'HEURE BLEUE
Pachamama,Anim,2017,ANTIN Juan,FOLIVARI ET O2B
The captain,Fiction,2017,SCWENTKE Robert,ALFAMA FILMS PRODUCTION
Bienvenue a Marly-Gomont,Fiction,2016,RAMBALDI Julien,E.D.I. FILMS
Georges et mavie,Fiction,2016,GIRARD Elise,KINOELEKTRON
Insight,Fiction,2016,MENNEGUN Cyril,UNITE DE PRODUCTION
Que le diable nous emporte,Fiction,2016,BRISSEAU Jean-Claude,LA SORCIERE ROUGE
La Vita possibile,Fiction,2016,DE MATTEO Ivano,BARBARY FILMS
Return to Montauk,Fiction,2016,SCHLONDORFF Volker,ORSANS PRODUCTIONS
MARIAGE CHEZ LES BODIN'S,Fiction,2008,LE ROCH Eric,AGENCE BJP
DELWENDE LEVE-TOI ET MARCHE,Fiction,2005,YAMEOGO S. Pierre,DUNIA PRODUCTIONS
D'UN FILM A L'AUTRE,Documentaire,2009,LELOUCH Claude,LES FILMS 13
LA NOSTRA VITA,Fiction,2009,LUCHETTI Daniele,BABE FILMS
TOUTES LES FILLES PLEURENT,Fiction,2009,GODRECHE Judith,MOBY DICK FILMS
JE NE VOUS OUBLIERAI JAMAIS,Fiction,2007,KANE Pascal,TITA PRODUCTIONS
NUIT CANNOISE,Fiction,2007,VANDELET Christian,CARTEL PRODUCTIONS
ENTRE ADULTES,Fiction,2006,BRIZE Stephane,LES FILMS 13
GRABUGE,Fiction,2006,MOCKY Jean-Pierre,MOCKY DELICIOUS PRODUCTS
TENJA,Fiction,2003,LEGZOULI Hassan,WHY NOT PRODUCTIONS
AFRICAN SAFARI 3D,Documentaire,2012,STASSEN Ben,STUDIOCANAL
CAUGHT IN FLIGHT,Fiction,2012,HIRSCHBIEGEL Oliver,LE PACTE
EASTERN BOYS,Fiction,2012,CAMPILLO Robin,LES FILMS DE PIERRE
MARUSSIA,Fiction,2012,PERVOLOVICI Eva,KINOELEKTRON
TOUR DU FASO,Documentaire,2012,HUYGEN Wilm,LA HUIT PRODUCTION
VENDANGES,Documentaire,2012,LACOSTE Paul,EVERYBODY ON DECK
Dieu protege ma fille,Fiction,2014,BOUZID Leyla,BLUE MONDAY PRODUCTIONS
Un homme a la mer,Fiction,2014,DOIGNON Geraldine,KIZMAR FILMS
Akwaba,Fiction,2013,MARIAGE Benoit,FORMOSA PRODUCTIONS
Chromobiles,Docu,2013,LACHAUD Valerie Elodie,SCOTTO PRODUCTIONS
Divorce a la francaise,Fiction,2013,SEBBAGH Dorothee,LES FILMS DU 24
Macadam popcorn,Docu,2013,POZZI Jean-Pierre,CIEL DE PARIS PRODUCTIONS
Weekend of a champion,Docu,2013,POLANSKI Roman,RP PRODUCTIONS
Faut pas lui dire,Fiction,2015,CICUREL Solange,OTHER ANGLE PICTURES
Louise en hiver,Anim,2015,LAGUIONIE Jean-Francois,JPL FILMS
Project lazarus,Fiction,2015,GIL Mateo,NOODLES PRODUCTION
Secret d'hiver,Fiction,2015,HARTER Vincent,HAKA VISION
Wolf and sheep,Fiction,2015,SADT Shahrbanoo,LA FABRICA NOCTURNA
BERNARD NI DIEU NI CHAUSSETTES,Documentaire,2010,BOUCHER Pascal,LES MUTINS DE PANGEE
CAFE DE FLORE,Fiction,2010,VALLEE Jean-Marc,MONKEY PACK FILMS
